Filename,Hand Posture
Test230.ppm,Five
Test222.ppm,B
Test418.ppm,Five
Test367.ppm,Point
Test648.ppm,B
Test336.ppm,Five
Test266.ppm,B
Test284.ppm,C
Test402.ppm,Point
Test657.ppm,Five
Test272.ppm,Point
Test42.ppm,C
Test41.ppm,Point
Test151.ppm,Five
Test321.ppm,Five
Test287.ppm,Point
Test153.ppm,V
Test619.ppm,Five
Test66.ppm,C
Test300.ppm,C
Test82.ppm,Five
Test129.ppm,Five
Test611.ppm,Five
Test28.ppm,Five
Test150.ppm,Five
Test91.ppm,Point
Test298.ppm,Point
Test484.ppm,B
Test168.ppm,Point
Test71.ppm,Point
Test460.ppm,A
Test194.ppm,A
Test406.ppm,Five
Test330.ppm,Five
Test307.ppm,A
Test30.ppm,A
Test144.ppm,Point
Test157.ppm,B
Test205.ppm,Five
Test310.ppm,B
Test433.ppm,Five
Test164.ppm,V
Test171.ppm,Point
Test419.ppm,Point
Test161.ppm,Point
Test389.ppm,Point
Test612.ppm,B
Test140.ppm,Five
Test469.ppm,A
Test303.ppm,V
Test348.ppm,A
Test399.ppm,C
Test131.ppm,A
Test458.ppm,V
Test500.ppm,Point
Test622.ppm,V
Test127.ppm,B
Test415.ppm,Point
Test98.ppm,Five
Test424.ppm,A
Test634.ppm,Five
Test545.ppm,Five
Test437.ppm,Point
Test407.ppm,A
Test439.ppm,A
Test196.ppm,Five
Test430.ppm,Point
Test375.ppm,Point
Test353.ppm,Point
Test546.ppm,Five
Test378.ppm,Five
Test562.ppm,Point
Test135.ppm,V
Test83.ppm,Point
Test318.ppm,A
Test51.ppm,A
Test65.ppm,Five
Test644.ppm,Five
Test559.ppm,B
Test329.ppm,Point
Test108.ppm,Five
Test528.ppm,V
Test206.ppm,Point
Test596.ppm,B
Test555.ppm,Five
Test384.ppm,C
Test15.ppm,Five
Test476.ppm,Five
Test309.ppm,Point
Test614.ppm,Five
Test306.ppm,B
Test75.ppm,Point
Test280.ppm,C
Test556.ppm,Five
Test312.ppm,Point
Test569.ppm,Point
Test613.ppm,C
Test16.ppm,Five
Test651.ppm,Point
Test130.ppm,A
Test257.ppm,B
Test393.ppm,Point
Test409.ppm,Five
Test236.ppm,Five
Test442.ppm,Point
Test163.ppm,Five
Test454.ppm,Point
Test211.ppm,Point
Test5.ppm,Point
Test503.ppm,B
Test133.ppm,Point
Test616.ppm,Point
Test400.ppm,Five
Test58.ppm,Point
Test190.ppm,Five
Test459.ppm,V
Test600.ppm,Five
Test274.ppm,Point
Test110.ppm,C
Test625.ppm,B
Test59.ppm,A
Test449.ppm,B
Test247.ppm,A
Test80.ppm,A
Test294.ppm,A
Test198.ppm,B
Test35.ppm,B
Test22.ppm,Point
Test594.ppm,Point
